,date,market
0,2013-08-01,190367
1,2013-08-02,183766
2,2013-08-03,211731
3,2013-08-04,226680
4,2013-08-05,227272
5,2013-08-06,239489
6,2013-08-07,246003
7,2013-08-08,252210
8,2013-08-09,233849
9,2013-08-10,211489
10,2013-08-11,209292
11,2013-08-12,212145
12,2013-08-13,213894
13,2013-08-14,221102
14,2013-08-15,213097
15,2013-08-16,224605
16,2013-08-17,214414
17,2013-08-18,209591
18,2013-08-19,252739
19,2013-08-20,240756
20,2013-08-21,244786
21,2013-08-22,238988
22,2013-08-23,255058
23,2013-08-24,248377
24,2013-08-25,253913
25,2013-08-26,248969
26,2013-08-27,227890
27,2013-08-28,251060
28,2013-08-29,228436
29,2013-08-30,213366
30,2013-08-31,181463
31,2013-09-01,161122
32,2013-09-02,164133
33,2013-09-03,164119
34,2013-09-04,166307
35,2013-09-05,194403
36,2013-09-06,181916
37,2013-09-07,163742
38,2013-09-08,173657
39,2013-09-09,170177
40,2013-09-10,171569
41,2013-09-11,170687
42,2013-09-12,184772
43,2013-09-13,168957
44,2013-09-14,155827
45,2013-09-15,151247
46,2013-09-16,150281
47,2013-09-17,155992
48,2013-09-18,162382
49,2013-09-19,161599
50,2013-09-20,187499
51,2013-09-21,184323
52,2013-09-22,172266
53,2013-09-23,177344
54,2013-09-24,180569
55,2013-09-25,162193
56,2013-09-26,154196
57,2013-09-27,160356
58,2013-09-28,169368
59,2013-09-29,174078
60,2013-09-30,166160
61,2013-10-01,138265
62,2013-10-02,147590
63,2013-10-03,136365
64,2013-10-04,142395
65,2013-10-05,148663
66,2013-10-06,147643
67,2013-10-07,163626
68,2013-10-08,157362
69,2013-10-09,165157
70,2013-10-10,195958
71,2013-10-11,184963
72,2013-10-12,179394
73,2013-10-13,182554
74,2013-10-14,190077
75,2013-10-15,190049
76,2013-10-16,168931
77,2013-10-17,157456
78,2013-10-18,157358
79,2013-10-19,148321
80,2013-10-20,109692
81,2013-10-21,118212
82,2013-10-22,118690
83,2013-10-23,111975
84,2013-10-24,109246
85,2013-10-25,133199
86,2013-10-26,141715
87,2013-10-27,138441
88,2013-10-28,124495
89,2013-10-29,121548
90,2013-10-30,123877
91,2013-10-31,120471
92,2013-11-01,133472
93,2013-11-02,126419
94,2013-11-03,126246
95,2013-11-04,133436
96,2013-11-05,137446
97,2013-11-06,154509
98,2013-11-07,158733
99,2013-11-08,166717
100,2013-11-09,177484
101,2013-11-10,182922
102,2013-11-11,169254
103,2013-11-12,173668
104,2013-11-13,165071
105,2013-11-14,159025
106,2013-11-15,179985
107,2013-11-16,176096
108,2013-11-17,202810
109,2013-11-18,262774
110,2013-11-19,301367
111,2013-11-20,255787
112,2013-11-21,303983
113,2013-11-22,349757
114,2013-11-23,429546
115,2013-11-24,441837
116,2013-11-25,680154
117,2013-11-26,833409
118,2013-11-27,1237420
119,2013-11-28,1353050
120,2013-11-29,1213080
121,2013-11-30,1551100
122,2013-12-01,4974620
123,2013-12-02,3002170
124,2013-12-03,2667450
125,2013-12-04,2635260
126,2013-12-05,3134360
127,2013-12-06,2392660
128,2013-12-07,2049530
129,2013-12-08,1571190
130,2013-12-09,1722000
131,2013-12-10,2405840
132,2013-12-11,2967570
133,2013-12-12,2793590
134,2013-12-13,4685300
135,2013-12-14,5600610
136,2013-12-15,8116560
137,2013-12-16,6462540
138,2013-12-17,3760530
139,2013-12-18,3199180
140,2013-12-19,2126720
141,2013-12-20,3123100
142,2013-12-21,3162460
143,2013-12-22,2655530
144,2013-12-23,2403460
145,2013-12-24,2787650
146,2013-12-25,2650060
147,2013-12-26,3048810
148,2013-12-27,3101750
149,2013-12-28,3131040
150,2013-12-29,2863980
151,2013-12-30,2831950
152,2013-12-31,2719980
153,2014-01-01,2778670
154,2014-01-02,3408500
155,2014-01-03,3210470
156,2014-01-04,3346010
157,2014-01-05,3341270
158,2014-01-06,3985520
159,2014-01-07,4121530
160,2014-01-08,3999150
161,2014-01-09,4351450
162,2014-01-10,4641370
163,2014-01-12,4538430
164,2014-01-13,4366460
165,2014-01-14,4181930
166,2014-01-15,4106430
167,2014-01-16,4251970
168,2014-01-17,4129970
169,2014-01-18,3949000
170,2014-01-19,4071590
171,2014-01-20,3940610
172,2014-01-21,3663070
173,2014-01-22,3662180
174,2014-01-23,3504450
175,2014-01-24,3271740
176,2014-01-25,3247820
177,2014-01-26,3438810
178,2014-01-27,3449070
179,2014-01-28,2826580
180,2014-01-29,3389350
181,2014-01-30,3263890
182,2014-01-31,3281080
183,2014-02-01,3303230
184,2014-02-02,3434060
185,2014-02-03,3405570
186,2014-02-04,3390610
187,2014-02-05,3342850
188,2014-02-06,3396020
189,2014-02-07,3265350
190,2014-02-08,2769020
191,2014-02-09,2628780
192,2014-02-10,2540200
193,2014-02-11,2522330
194,2014-02-12,2418470
195,2014-02-13,2285230
196,2014-02-14,2049000
197,2014-02-15,2297150
198,2014-02-16,2328200
199,2014-02-17,2221110
200,2014-02-18,2330830
201,2014-02-19,2239740
202,2014-02-20,2163270
203,2014-02-21,2033500
204,2014-02-22,2208680
205,2014-02-23,2052540
206,2014-02-24,2104510
207,2014-02-25,1907370
208,2014-02-26,1673190
209,2014-02-27,1747180
210,2014-02-28,1618580
211,2014-03-01,1315920
212,2014-03-02,1280930
213,2014-03-03,1087710
214,2014-03-04,1341970
215,2014-03-05,1356960
216,2014-03-06,1267830
217,2014-03-07,1200970
218,2014-03-08,1115770
219,2014-03-09,843068
220,2014-03-10,907866
221,2014-03-11,819529
222,2014-03-12,798157
223,2014-03-13,793854
224,2014-03-14,1018000
225,2014-03-15,805703
226,2014-03-16,797826
227,2014-03-17,607506
228,2014-03-18,581081
229,2014-03-19,662632
230,2014-03-20,640843
231,2014-03-21,608738
232,2014-03-22,596876
233,2014-03-23,556964
234,2014-03-24,592039
235,2014-03-25,674928
236,2014-03-26,583367
237,2014-03-27,574727
238,2014-03-28,394982
239,2014-03-29,433070
240,2014-03-30,435381
241,2014-03-31,429468
242,2014-04-01,356839
243,2014-04-02,405644
244,2014-04-03,326959
245,2014-04-04,331262
246,2014-04-05,345130
247,2014-04-06,347668
248,2014-04-07,355578
249,2014-04-08,353768
250,2014-04-09,400674
251,2014-04-10,461106
252,2014-04-11,351767
253,2014-04-12,417995
254,2014-04-13,413167
255,2014-04-14,376029
256,2014-04-15,445535
257,2014-04-16,627189
258,2014-04-17,771146
259,2014-04-18,586999
260,2014-04-19,610032
261,2014-04-20,642168
262,2014-04-21,585108
263,2014-04-22,588375
264,2014-04-23,586661
265,2014-04-24,544417
266,2014-04-25,541653
267,2014-04-26,361895
268,2014-04-27,362847
269,2014-04-28,341722
270,2014-04-29,364608
271,2014-04-30,402948
272,2014-05-01,448207
273,2014-05-02,454927
274,2014-05-03,445012
275,2014-05-04,427609
276,2014-05-05,410330
277,2014-05-06,419202
278,2014-05-07,403794
279,2014-05-08,432288
280,2014-05-09,410486
281,2014-05-10,436998
282,2014-05-11,445888
283,2014-05-12,362151
284,2014-05-13,383223
285,2014-05-14,376497
286,2014-05-15,376962
287,2014-05-16,380202
288,2014-05-17,386754
289,2014-05-18,374819
290,2014-05-19,385141
291,2014-05-20,379366
292,2014-05-21,397786
293,2014-05-22,382940
294,2014-05-23,388441
295,2014-05-24,373829
296,2014-05-25,374058
297,2014-05-26,385856
298,2014-05-27,400709
299,2014-05-28,380046
300,2014-05-29,378106
301,2014-05-30,400678
302,2014-05-31,360269
303,2014-06-01,345131
304,2014-06-02,337891
305,2014-06-03,337527
306,2014-06-04,343014
307,2014-06-05,311422
308,2014-06-06,307182
309,2014-06-07,302036
310,2014-06-08,281377
311,2014-06-09,318821
312,2014-06-10,310111
313,2014-06-11,298672
314,2014-06-12,272845
315,2014-06-13,250116
316,2014-06-14,271235
317,2014-06-15,256354
318,2014-06-16,252938
319,2014-06-17,243191
320,2014-06-18,238451
321,2014-06-19,226004
322,2014-06-20,239239
323,2014-06-21,238206
324,2014-06-22,247985
325,2014-06-23,223567
326,2014-06-24,249780
327,2014-06-25,215794
328,2014-06-26,202211
329,2014-06-27,203858
330,2014-06-28,215879
331,2014-06-29,212535
332,2014-06-30,237373
333,2014-07-01,232789
334,2014-07-02,231496
335,2014-07-03,231449
336,2014-07-04,237323
337,2014-07-05,231392
338,2014-07-06,243609
339,2014-07-07,210369
340,2014-07-08,237424
341,2014-07-09,248816
342,2014-07-10,213143
343,2014-07-11,209066
344,2014-07-12,218735
345,2014-07-13,195326
346,2014-07-14,207097
347,2014-07-15,194241
348,2014-07-16,191581
349,2014-07-17,174834
350,2014-07-18,171236
351,2014-07-19,228703
352,2014-07-20,234287
353,2014-07-21,218547
354,2014-07-22,254755
355,2014-07-23,227770
356,2014-07-24,218584
357,2014-07-25,216615
358,2014-07-26,216039
359,2014-07-27,205340
360,2014-07-28,207120
361,2014-07-29,208957
362,2014-07-30,267283
363,2014-07-31,203360
364,2014-08-01,220167
365,2014-08-02,218122
366,2014-08-03,215503
367,2014-08-04,213367
368,2014-08-05,224854
369,2014-08-06,214895
370,2014-08-07,204595
371,2014-08-08,194421
372,2014-08-09,188136
373,2014-08-10,186523
374,2014-08-11,195067
375,2014-08-12,180027
376,2014-08-13,162081
377,2014-08-14,155732
378,2014-08-15,145295
379,2014-08-16,147891
380,2014-08-17,142966
381,2014-08-18,137619
382,2014-08-19,122485
383,2014-08-20,124346
384,2014-08-21,118065
385,2014-08-22,115416
386,2014-08-23,103968
387,2014-08-24,107291
388,2014-08-25,121723
389,2014-08-26,110674
390,2014-08-27,117633
391,2014-08-28,124507
392,2014-08-29,123331
393,2014-08-30,120401
394,2014-08-31,116809
395,2014-09-01,114090
396,2014-09-02,122760
397,2014-09-03,174151
398,2014-09-04,128970
399,2014-09-05,123473
400,2014-09-06,124206
401,2014-09-07,129860
402,2014-09-08,129043
403,2014-09-09,119830
404,2014-09-10,119593
405,2014-09-11,134536
406,2014-09-12,161629
407,2014-09-13,174878
408,2014-09-14,210720
409,2014-09-15,218216
410,2014-09-16,235453
411,2014-09-17,225599
412,2014-09-18,210908
413,2014-09-19,220896
414,2014-09-20,204871
415,2014-09-21,219701
416,2014-09-22,206121
417,2014-09-23,215902
418,2014-09-24,238903
419,2014-09-25,214008
420,2014-09-26,215231
421,2014-09-27,231041
422,2014-09-28,221978
423,2014-09-29,198956
424,2014-09-30,198906
425,2014-10-01,205599
426,2014-10-02,195145
427,2014-10-03,217578
428,2014-10-04,213421
429,2014-10-05,189695
430,2014-10-06,168765
431,2014-10-07,200162
432,2014-10-08,186214
433,2014-10-09,190614
434,2014-10-10,202553
435,2014-10-11,190903
436,2014-10-12,192802
437,2014-10-13,194849
438,2014-10-14,204394
439,2014-10-15,208412
440,2014-10-16,195327
441,2014-10-17,194315
442,2014-10-18,188454
443,2014-10-19,186651
444,2014-10-20,193625
445,2014-10-21,194260
446,2014-10-22,181907
447,2014-10-23,185384
448,2014-10-24,174319
449,2014-10-25,160195
450,2014-10-26,172607
451,2014-10-27,160048
452,2014-10-28,165741
453,2014-10-29,167443
454,2014-10-30,160541
455,2014-10-31,161660
456,2014-11-01,174954
457,2014-11-02,178542
458,2014-11-03,173169
459,2014-11-04,185010
460,2014-11-05,177770
461,2014-11-06,177615
462,2014-11-07,178918
463,2014-11-08,176743
464,2014-11-09,183546
465,2014-11-10,181752
466,2014-11-11,186513
467,2014-11-12,184823
468,2014-11-13,224280
469,2014-11-14,205294
470,2014-11-15,214437
471,2014-11-16,195935
472,2014-11-17,195227
473,2014-11-18,193292
474,2014-11-19,186896
475,2014-11-20,188450
476,2014-11-21,184241
477,2014-11-22,197426
478,2014-11-23,195923
479,2014-11-24,198582
480,2014-11-25,217804
481,2014-11-26,216079
482,2014-11-27,203537
483,2014-11-28,188669
484,2014-11-29,190395
485,2014-11-30,191335
486,2014-12-01,184687
487,2014-12-02,185585
488,2014-12-03,176812
489,2014-12-04,210481
490,2014-12-05,189521
491,2014-12-06,200231
492,2014-12-07,182958
493,2014-12-08,212933
494,2014-12-09,213049
495,2014-12-10,197826
496,2014-12-11,187214
497,2014-12-12,198674
498,2014-12-13,201600
499,2014-12-14,192833
500,2014-12-15,193367
501,2014-12-16,187205
502,2014-12-17,169910
503,2014-12-18,163575
504,2014-12-19,155337
505,2014-12-20,186973
506,2014-12-21,177259
507,2014-12-22,172566
508,2014-12-23,182675
509,2014-12-24,175033
510,2014-12-25,182363
511,2014-12-26,178180
512,2014-12-27,178784
513,2014-12-28,175873
514,2014-12-29,168532
515,2014-12-30,172351
516,2014-12-31,177756
517,2015-01-01,180021
518,2015-01-02,182518
519,2015-01-03,179632
520,2015-01-04,160831
521,2015-01-05,156311
522,2015-01-06,179052
523,2015-01-07,183577
524,2015-01-08,193485
525,2015-01-09,187938
526,2015-01-10,187180
527,2015-01-11,159247
528,2015-01-12,157858
529,2015-01-13,148221
530,2015-01-14,130548
531,2015-01-15,145978
532,2015-01-16,136471
533,2015-01-17,130299
534,2015-01-18,123226
535,2015-01-19,104193
536,2015-01-20,111022
537,2015-01-21,108685
538,2015-01-22,132542
539,2015-01-23,105369
540,2015-01-24,115967
541,2015-01-25,145135
542,2015-01-26,145924
543,2015-01-27,145828
544,2015-01-28,108328
545,2015-01-29,87487
546,2015-01-30,144254
547,2015-01-31,127172
548,2015-02-01,132427
549,2015-02-02,112304
550,2015-02-03,106751
551,2015-02-04,121508
552,2015-02-05,131154
553,2015-02-06,127600
554,2015-02-07,125456
555,2015-02-08,95097
556,2015-02-09,128682
557,2015-02-10,126001
558,2015-02-11,124671
559,2015-02-12,116360
560,2015-02-13,120789
561,2015-02-14,133780
562,2015-02-15,142734
563,2015-02-16,127291
564,2015-02-17,120494
565,2015-02-18,129843
566,2015-02-19,128788
567,2015-02-20,133957
568,2015-02-21,99195
569,2015-02-22,134967
570,2015-02-23,128133
571,2015-02-24,125975
572,2015-02-25,140144
573,2015-02-26,139895
574,2015-02-27,126881
575,2015-02-28,137926
576,2015-03-01,134146
577,2015-03-02,135585
578,2015-03-03,135358
579,2015-03-04,149709
580,2015-03-05,144160
581,2015-03-06,148888
582,2015-03-07,145345
583,2015-03-08,154024
584,2015-03-09,143013
585,2015-03-10,147117
586,2015-03-11,155046
587,2015-03-12,131638
588,2015-03-13,122190
589,2015-03-14,124728
590,2015-03-15,112125
591,2015-03-16,107127
592,2015-03-17,111944
593,2015-03-18,115702
594,2015-03-19,107756
595,2015-03-20,98075
596,2015-03-21,100506
597,2015-03-22,106220
598,2015-03-23,104849
599,2015-03-24,121070
600,2015-03-25,114302
601,2015-03-26,115664
602,2015-03-27,122255
603,2015-03-28,143112
604,2015-03-29,128794
605,2015-03-30,112488
606,2015-03-31,119040
607,2015-04-01,115191
608,2015-04-02,115599
609,2015-04-03,120055
610,2015-04-04,126731
611,2015-04-05,122165
612,2015-04-06,127002
613,2015-04-07,106634
614,2015-04-08,108292
615,2015-04-09,108197
616,2015-04-10,117086
617,2015-04-11,104093
618,2015-04-12,102514
619,2015-04-13,99552
620,2015-04-14,95572
621,2015-04-15,94068
622,2015-04-16,93539
623,2015-04-17,99420
624,2015-04-18,93111
625,2015-04-19,92129
626,2015-04-20,90381
627,2015-04-21,85588
628,2015-04-22,86921
629,2015-04-23,82637
630,2015-04-24,91258
631,2015-04-25,89442
632,2015-04-26,86331
633,2015-04-27,81718
634,2015-04-28,84330
635,2015-04-29,89948
636,2015-04-30,80378
637,2015-05-01,84154
638,2015-05-02,79166
639,2015-05-03,69184
640,2015-05-04,81146
641,2015-05-05,84981
642,2015-05-06,89529
643,2015-05-07,81730
644,2015-05-08,80309
645,2015-05-09,82205
646,2015-05-10,87298
647,2015-05-11,97914
648,2015-05-12,114330
649,2015-05-13,132858
650,2015-05-14,108589
651,2015-05-15,108456
652,2015-05-16,135512
653,2015-05-17,142757
654,2015-05-18,138327
655,2015-05-19,142257
656,2015-05-20,167850
657,2015-05-21,158723
658,2015-05-22,175966
659,2015-05-23,228644
660,2015-05-24,224556
661,2015-05-25,252755
662,2015-05-26,233611
663,2015-05-27,268637
664,2015-05-28,284285
665,2015-05-29,260817
666,2015-05-30,233238
667,2015-05-31,218919
668,2015-06-01,205404
669,2015-06-02,197105
670,2015-06-03,220292
671,2015-06-04,198311
672,2015-06-05,189719
673,2015-06-06,191240
674,2015-06-07,198121
675,2015-06-08,189219
676,2015-06-09,200951
677,2015-06-10,202395
678,2015-06-11,216692
679,2015-06-12,199054
680,2015-06-13,202931
681,2015-06-14,243957
682,2015-06-15,284973
683,2015-06-16,312516
684,2015-06-17,432703
685,2015-06-18,550634
686,2015-06-19,595704
687,2015-06-20,529694
688,2015-06-21,530500
689,2015-06-22,522688
690,2015-06-23,544528
691,2015-06-24,475347
692,2015-06-25,402838
693,2015-06-26,458161
694,2015-06-27,474229
695,2015-06-28,505124
696,2015-06-29,452229
697,2015-06-30,514563
698,2015-07-01,496758
699,2015-07-02,470904
700,2015-07-03,442606
701,2015-07-04,455074
702,2015-07-05,454469
703,2015-07-06,481445
704,2015-07-07,457324
705,2015-07-08,444847
706,2015-07-09,454962
707,2015-07-10,453646
708,2015-07-11,469432
709,2015-07-12,424967
710,2015-07-13,469512
711,2015-07-14,435195
712,2015-07-15,416295
713,2015-07-16,360184
714,2015-07-17,306892
715,2015-07-18,323289
716,2015-07-19,301425
717,2015-07-20,304979
718,2015-07-21,302547
719,2015-07-22,292994
720,2015-07-23,291877
721,2015-07-24,278886
722,2015-07-25,317697
723,2015-07-26,292570
724,2015-07-27,290120
725,2015-07-28,298844
726,2015-07-29,298098
727,2015-07-30,283533
728,2015-07-31,288033
729,2015-08-01,273448
730,2015-08-02,252073
731,2015-08-03,239630
732,2015-08-04,249797
733,2015-08-05,239685
734,2015-08-06,247902
735,2015-08-07,302253
736,2015-08-08,264354
737,2015-08-09,217833
738,2015-08-10,225160
739,2015-08-11,209744
740,2015-08-12,218688
741,2015-08-13,239598
742,2015-08-14,219969
743,2015-08-15,224140
744,2015-08-16,214997
745,2015-08-17,218210
746,2015-08-18,200327
747,2015-08-19,191158
748,2015-08-20,193447
749,2015-08-21,194046
750,2015-08-22,198952
751,2015-08-23,190771
752,2015-08-24,182707
753,2015-08-25,172351
754,2015-08-26,190254
755,2015-08-27,182233
756,2015-08-28,183180
757,2015-08-29,188377
758,2015-08-30,195978
759,2015-08-31,199494
760,2015-09-01,199964
761,2015-09-02,189718
762,2015-09-03,191550
763,2015-09-04,189520
764,2015-09-05,191725
765,2015-09-06,198992
766,2015-09-07,186058
767,2015-09-08,198764
768,2015-09-09,209929
769,2015-09-10,241288
770,2015-09-11,227749
771,2015-09-12,232004
772,2015-09-13,203799
773,2015-09-14,194754
774,2015-09-15,191343
775,2015-09-16,202064
776,2015-09-17,213670
777,2015-09-18,207683
778,2015-09-19,208748
779,2015-09-20,232942
780,2015-09-21,225506
781,2015-09-22,231597
782,2015-09-23,254870
783,2015-09-24,242574
784,2015-09-25,248034
785,2015-09-26,241010
786,2015-09-27,228881
787,2015-09-28,235668
788,2015-09-29,238454
789,2015-09-30,232017
790,2015-10-01,213796
791,2015-10-02,213783
792,2015-10-03,213015
793,2015-10-04,224017
794,2015-10-05,211863
795,2015-10-06,196487
796,2015-10-07,202188
797,2015-10-08,194201
798,2015-10-09,195582
799,2015-10-10,200100
800,2015-10-11,200062
801,2015-10-12,203710
802,2015-10-13,205923
803,2015-10-14,201701
804,2015-10-15,193495
805,2015-10-16,196470
806,2015-10-17,203159
807,2015-10-18,206381
808,2015-10-19,188202
809,2015-10-20,192916
810,2015-10-21,182970
811,2015-10-22,176561
812,2015-10-23,168062
813,2015-10-24,174501
814,2015-10-25,172375
815,2015-10-26,184904
816,2015-10-27,177596
817,2015-10-28,184086
818,2015-10-29,188798
819,2015-10-30,239913
820,2015-10-31,252905
821,2015-11-01,229362
822,2015-11-02,217011
823,2015-11-03,231633
824,2015-11-04,263739
825,2015-11-05,255205
826,2015-11-06,236040
827,2015-11-07,242332
828,2015-11-08,319416
829,2015-11-09,265478
830,2015-11-10,286884
831,2015-11-11,257969
832,2015-11-12,248176
833,2015-11-13,247936
834,2015-11-14,243730
835,2015-11-15,233680
836,2015-11-16,242065
837,2015-11-17,229341
838,2015-11-18,239273
839,2015-11-19,233375
840,2015-11-20,231336
841,2015-11-21,219639
842,2015-11-22,209883
843,2015-11-23,206790
844,2015-11-24,219896
845,2015-11-25,229563
846,2015-11-26,241265
847,2015-11-27,233910
848,2015-11-28,247568
849,2015-11-29,237809
850,2015-11-30,290344
851,2015-12-01,273976
852,2015-12-02,312331
853,2015-12-03,278456
854,2015-12-04,291654
